编码,日期,销量,周
1001,20150608,7,1
1001,20150609,9,2
1001,20150610,29,3
1001,20150611,13,4
1001,20150612,13,5
1001,20150613,13,6
1001,20150614,8,7
1001,20150615,11,1
1001,20150616,7,2
1001,20150617,28,3
1001,20150618,12,4
1001,20150619,10,5
1001,20150620,5,6
1001,20150621,2,7
1001,20150622,8,1
1001,20150623,9,2
1001,20150624,24,3
1001,20150625,9,4
1001,20150626,11,5
1001,20150627,9,6
1001,20150628,9,7
1001,20150629,9,1
1001,20150630,12,2
1001,20150701,12,3
1001,20150702,9,4
1001,20150703,2,5
1001,20150704,9,6
1001,20150705,4,7
1001,20150706,12,1
1001,20150707,7,2
1001,20150708,15,3
1001,20150709,8,4
1001,20150710,5,5
1001,20150711,5,6
1001,20150712,5,7
1001,20150713,7,1
1001,20150714,8,2
1001,20150715,15,3
1001,20150716,4,4
1001,20150717,11,5
1001,20150718,12,6
1001,20150719,8,7
1001,20150720,5,1
1001,20150721,7,2
1001,20150722,15,3
1001,20150723,9,4
1001,20150724,2,5
1001,20150725,4,6
1001,20150726,11,7
1001,20150727,10,1
1001,20150728,6,2
1001,20150729,16,3
1001,20150730,7,4
1001,20150731,8,5
1001,20150801,8,6
1001,20150802,16,7
1001,20150803,8,1
1001,20150804,7,2
1001,20150805,15,3
1001,20150806,9,4
1001,20150807,9,5
1001,20150808,5,6
1001,20150809,14,7
1001,20150810,5,1
1001,20150811,10,2
1001,20150812,16,3
1001,20150813,4,4
1001,20150814,12,5
1001,20150815,9,6
1001,20150816,8,7
1001,20150817,6,1
1001,20150818,5,2
1001,20150819,21,3
1001,20150820,9,4
1001,20150821,8,5
1001,20150822,5,6
1001,20150823,9,7
1001,20150824,4,1
1001,20150825,4,2
1001,20150826,10,3
1001,20150827,11,4
1001,20150828,5,5
1001,20150829,10,6
1001,20150830,8,7
1001,20150831,12,1
1002,20150101,0,4
1002,20150102,0,5
1002,20150103,0,6
1002,20150104,0,7
1002,20150105,1,1
1002,20150106,0,2
1002,20150107,1,3
1002,20150108,1,4
1002,20150109,0,5
1002,20150110,0,6
1002,20150111,0,7
1002,20150112,0,1
1002,20150113,0,2
1002,20150114,0,3
1002,20150115,0,4
1002,20150116,0,5
1002,20150117,0,6
1002,20150118,0,7
1002,20150119,0,1
1002,20150120,0,2
1002,20150121,0,3
1002,20150122,0,4
1002,20150123,1,5
1002,20150124,0,6
1002,20150125,1,7
1002,20150126,0,1
1002,20150127,0,2
1002,20150128,0,3
1002,20150129,0,4
1002,20150130,0,5
1002,20150131,1,6
1002,20150201,2,7
1002,20150202,0,1
1002,20150203,0,2
1002,20150204,0,3
1002,20150205,0,4
1002,20150206,1,5
1002,20150207,0,6
1002,20150208,0,7
1002,20150209,0,1
1002,20150210,2,2
1002,20150211,2,3
1002,20150212,0,4
1002,20150213,2,5
1002,20150214,0,6
1002,20150215,1,7
1002,20150216,2,1
1002,20150217,0,2
1002,20150218,0,3
1002,20150219,0,4
1002,20150220,0,5
1002,20150221,0,6
1002,20150222,1,7
1002,20150223,0,1
1002,20150224,0,2
1002,20150225,0,3
1002,20150226,0,4
1002,20150227,0,5
1002,20150228,0,6
1002,20150301,0,7
1002,20150302,0,1
1002,20150303,0,2
1002,20150304,0,3
1002,20150305,0,4
1002,20150306,0,5
1002,20150307,0,6
1002,20150308,0,7
1002,20150309,0,1
1002,20150310,0,2
1002,20150311,1,3
1002,20150312,0,4
1002,20150313,0,5
1002,20150314,0,6
1002,20150315,0,7
1002,20150316,0,1
1002,20150317,0,2
1002,20150318,0,3
1002,20150319,0,4
1002,20150320,0,5
1002,20150321,0,6
1002,20150322,0,7
1002,20150323,0,1
1002,20150324,0,2
1002,20150325,1,3
1002,20150326,0,4
1002,20150327,0,5
1002,20150328,0,6
1002,20150329,0,7
1002,20150330,1,1
1002,20150331,0,2
1002,20150401,2,3
1002,20150402,0,4
1002,20150403,0,5
1002,20150404,0,6
1002,20150405,2,7
1002,20150406,0,1
1002,20150407,0,2
1002,20150408,0,3
1002,20150409,0,4
1002,20150410,0,5
1002,20150411,0,6
1002,20150412,1,7
1002,20150413,0,1
1002,20150414,0,2
1002,20150415,0,3
1002,20150416,0,4
1002,20150417,0,5
1002,20150418,0,6
1002,20150419,0,7
1002,20150420,0,1
1002,20150421,1,2
1002,20150422,2,3
1002,20150423,0,4
1002,20150424,1,5
1002,20150425,1,6
1002,20150426,1,7
1002,20150427,0,1
1002,20150428,0,2
1002,20150429,0,3
1002,20150430,0,4
1002,20150501,0,5
1002,20150502,1,6
1002,20150503,1,7
1002,20150504,1,1
1002,20150505,0,2
1002,20150506,0,3
1002,20150507,2,4
1002,20150508,0,5
1002,20150509,1,6
1002,20150510,0,7
1002,20150511,0,1
1002,20150512,1,2
1002,20150513,0,3
1002,20150514,0,4
1002,20150515,0,5
1002,20150516,0,6
1002,20150517,0,7
1002,20150518,0,1
1002,20150519,0,2
1002,20150520,0,3
1002,20150521,0,4
1002,20150522,0,5
1002,20150523,0,6
1002,20150524,0,7
1002,20150525,1,1
1002,20150526,0,2
1002,20150527,0,3
1002,20150528,1,4
1002,20150529,1,5
1002,20150530,0,6
1002,20150531,0,7
1002,20150601,0,1
1002,20150602,0,2
1002,20150603,1,3
1002,20150604,0,4
1002,20150605,0,5
1002,20150606,0,6
1002,20150607,1,7
1002,20150608,1,1
1002,20150609,0,2
1002,20150610,1,3
1002,20150611,0,4
1002,20150612,0,5
1002,20150613,0,6
1002,20150614,0,7
1002,20150615,1,1
1002,20150616,0,2
1002,20150617,0,3
1002,20150618,0,4
1002,20150619,1,5
1002,20150620,0,6
1002,20150621,0,7
1002,20150622,0,1
1002,20150623,0,2
1002,20150624,0,3
1002,20150625,0,4
1002,20150626,1,5
1002,20150627,0,6
1002,20150628,0,7
1002,20150629,1,1
1002,20150630,0,2
1002,20150701,2,3
1002,20150702,0,4
1002,20150703,0,5
1002,20150704,0,6
1002,20150705,1,7
1002,20150706,0,1
1002,20150707,0,2
1002,20150708,0,3
1002,20150709,1,4
1002,20150710,1,5
1002,20150711,3,6
1002,20150712,0,7
1002,20150713,0,1
1002,20150714,0,2
1002,20150715,1,3
1002,20150716,0,4
1002,20150717,0,5
1002,20150718,0,6
1002,20150719,0,7
1002,20150720,1,1
1002,20150721,0,2
1002,20150722,0,3
1002,20150723,1,4
1002,20150724,1,5
1002,20150725,0,6
1002,20150726,1,7
1002,20150727,1,1
1002,20150728,1,2
1002,20150729,0,3
1002,20150730,0,4
1002,20150731,0,5
1002,20150801,0,6
1002,20150802,0,7
1002,20150803,0,1
1002,20150804,0,2
1002,20150805,0,3
1002,20150806,0,4
1002,20150807,0,5
1002,20150808,0,6
1002,20150809,0,7
1002,20150810,0,1
1002,20150811,0,2
1002,20150812,2,3
1002,20150813,0,4
1002,20150814,1,5
1002,20150815,1,6
1002,20150816,1,7
1002,20150817,0,1
1002,20150818,0,2
1002,20150819,0,3
1002,20150820,0,4
1002,20150821,0,5
1002,20150822,1,6
1002,20150823,2,7
1002,20150824,0,1
1002,20150825,0,2
1002,20150826,2,3
1002,20150827,1,4
1002,20150828,1,5
1002,20150829,0,6
1002,20150830,0,7
1002,20150831,0,1
1004,20150101,1,4
1004,20150102,3,5
1004,20150103,3,6
1004,20150104,2,7
1004,20150105,1,1
1004,20150106,1,2
1004,20150107,6,3
1004,20150108,1,4
1004,20150109,1,5
1004,20150110,0,6
1004,20150111,3,7
1004,20150112,1,1
1004,20150113,0,2
1004,20150114,3,3
1004,20150115,3,4
1004,20150116,1,5
1004,20150117,2,6
1004,20150118,0,7
1004,20150119,1,1
1004,20150120,1,2
1004,20150121,7,3
1004,20150122,6,4
1004,20150123,0,5
1004,20150124,0,6
1004,20150125,3,7
1004,20150126,0,1
1004,20150127,2,2
1004,20150128,5,3
1004,20150129,2,4
1004,20150130,1,5
1004,20150131,2,6
1004,20150201,0,7
1004,20150202,3,1
1004,20150203,2,2
1004,20150204,1,3
1004,20150205,1,4
1004,20150206,0,5
1004,20150207,0,6
1004,20150208,1,7
1004,20150209,0,1
1004,20150210,3,2
1004,20150211,9,3
1004,20150212,6,4
1004,20150213,4,5
1004,20150214,0,6
1004,20150215,3,7
1004,20150216,3,1
1004,20150217,2,2
1004,20150218,1,3
1004,20150219,0,4
1004,20150220,0,5
1004,20150221,0,6
1004,20150222,1,7
1004,20150223,2,1
1004,20150224,0,2
1004,20150225,0,3
1004,20150226,0,4
1004,20150227,1,5
1004,20150228,0,6
1004,20150301,0,7
1004,20150302,5,1
1004,20150303,2,2
1004,20150304,4,3
1004,20150305,1,4
1004,20150306,1,5
1004,20150307,1,6
1004,20150308,1,7
1004,20150309,2,1
1004,20150310,1,2
1004,20150311,5,3
1004,20150312,1,4
1004,20150313,2,5
1004,20150314,3,6
1004,20150315,3,7
1004,20150316,1,1
1004,20150317,0,2
1004,20150318,1,3
1004,20150319,0,4
1004,20150320,0,5
1004,20150321,1,6
1004,20150322,4,7
1004,20150323,0,1
1004,20150324,1,2
1004,20150325,0,3
1004,20150326,3,4
1004,20150327,1,5
1004,20150328,1,6
1004,20150329,1,7
1004,20150330,2,1
1004,20150331,0,2
1004,20150401,3,3
1004,20150402,2,4
1004,20150403,0,5
1004,20150404,1,6
1004,20150405,0,7
1004,20150406,1,1
1004,20150407,7,2
1004,20150408,4,3
1004,20150409,0,4
1004,20150410,1,5
1004,20150411,0,6
1004,20150412,3,7
1004,20150413,0,1
1004,20150414,4,2
1004,20150415,5,3
1004,20150416,0,4
1004,20150417,2,5
1004,20150418,2,6
1004,20150419,1,7
1004,20150420,7,1
1004,20150421,5,2
1004,20150422,6,3
1004,20150423,1,4
1004,20150424,1,5
1004,20150425,3,6
1004,20150426,1,7
1004,20150427,2,1
1004,20150428,0,2
1004,20150429,4,3
1004,20150430,4,4
1004,20150501,1,5
1004,20150502,1,6
1004,20150503,1,7
1004,20150504,0,1
1004,20150505,3,2
1004,20150506,7,3
1004,20150507,3,4
1004,20150508,2,5
1004,20150509,1,6
1004,20150510,1,7
1004,20150511,1,1
1004,20150512,0,2
1004,20150513,7,3
1004,20150514,2,4
1004,20150515,2,5
1004,20150516,1,6
1004,20150517,0,7
1004,20150518,1,1
1004,20150519,0,2
1004,20150520,8,3
1004,20150521,1,4
1004,20150522,4,5
1004,20150523,0,6
1004,20150524,2,7
1004,20150525,3,1
1004,20150526,1,2
1004,20150527,7,3
1004,20150528,3,4
1004,20150529,5,5
1004,20150530,0,6
1004,20150531,1,7
1004,20150601,2,1
1004,20150602,0,2
1004,20150603,5,3
1004,20150604,4,4
1004,20150605,3,5
1004,20150606,3,6
1004,20150607,5,7
1004,20150608,2,1
1004,20150609,6,2
1004,20150610,12,3
1004,20150611,3,4
1004,20150612,2,5
1004,20150613,4,6
1004,20150614,3,7
1004,20150615,1,1
1004,20150616,1,2
1004,20150617,8,3
1004,20150618,1,4
1004,20150619,1,5
1004,20150620,1,6
1004,20150621,1,7
1004,20150622,2,1
1004,20150623,4,2
1004,20150624,12,3
1004,20150625,0,4
1004,20150626,2,5
1004,20150627,1,6
1004,20150628,1,7
1004,20150629,3,1
1004,20150630,4,2
1004,20150701,5,3
1004,20150702,2,4
1004,20150703,5,5
1004,20150704,1,6
1004,20150705,0,7
1004,20150706,2,1
1004,20150707,0,2
1004,20150708,8,3
1004,20150709,2,4
1004,20150710,1,5
1004,20150711,3,6
1004,20150712,3,7
1004,20150713,1,1
1004,20150714,3,2
1004,20150715,4,3
1004,20150716,0,4
1004,20150717,1,5
1004,20150718,2,6
1004,20150719,1,7
1004,20150720,4,1
1004,20150721,0,2
1004,20150722,4,3
1004,20150723,4,4
1004,20150724,0,5
1004,20150725,0,6
1004,20150726,0,7
1004,20150727,3,1
1004,20150728,1,2
1004,20150729,7,3
1004,20150730,3,4
1004,20150731,2,5
1004,20150801,3,6
1004,20150802,1,7
1004,20150803,3,1
1004,20150804,2,2
1004,20150805,7,3
1004,20150806,1,4
1004,20150807,2,5
1004,20150808,1,6
1004,20150809,1,7
1004,20150810,1,1
1004,20150811,0,2
1004,20150812,8,3
1004,20150813,0,4
1004,20150814,2,5
1004,20150815,3,6
1004,20150816,3,7
1004,20150817,0,1
1004,20150818,1,2
1004,20150819,8,3
1004,20150820,1,4
1004,20150821,1,5
1004,20150822,1,6
1004,20150823,0,7
1004,20150824,2,1
1004,20150825,0,2
1004,20150826,4,3
1004,20150827,2,4
1004,20150828,2,5
1004,20150829,1,6
1004,20150830,2,7
1004,20150831,0,1
1005,20150101,0,4
1005,20150102,0,5
1005,20150103,0,6
1005,20150104,0,7
1005,20150105,2,1
1005,20150106,1,2
1005,20150107,3,3
1005,20150108,0,4
1005,20150109,0,5
1005,20150110,0,6
1005,20150111,2,7
1005,20150112,0,1
1005,20150113,0,2
1005,20150114,0,3
1005,20150115,0,4
1005,20150116,0,5
1005,20150117,0,6
1005,20150118,1,7
1005,20150119,0,1
1005,20150120,0,2
1005,20150121,0,3
1005,20150122,1,4
1005,20150123,2,5
1005,20150124,0,6
1005,20150125,0,7
1005,20150126,0,1
1005,20150127,0,2
1005,20150128,4,3
1005,20150129,0,4
1005,20150130,1,5
1005,20150131,0,6
1005,20150201,1,7
1005,20150202,0,1
1005,20150203,0,2
1005,20150204,0,3
1005,20150205,0,4
1005,20150206,0,5
1005,20150207,0,6
1005,20150208,0,7
1005,20150209,0,1
1005,20150210,0,2
1005,20150211,0,3
1005,20150212,0,4
1005,20150213,0,5
1005,20150214,0,6
1005,20150215,0,7
1005,20150216,0,1
1005,20150217,0,2
1005,20150218,0,3
1005,20150219,0,4
1005,20150220,0,5
1005,20150221,0,6
1005,20150222,0,7
1005,20150223,0,1
1005,20150224,0,2
1005,20150225,0,3
1005,20150226,0,4
1005,20150227,0,5
1005,20150228,0,6
1005,20150301,1,7
1005,20150302,0,1
1005,20150303,0,2
1005,20150304,0,3
1005,20150305,0,4
1005,20150306,0,5
1005,20150307,0,6
1005,20150308,0,7
1005,20150309,0,1
1005,20150310,0,2
1005,20150311,0,3
1005,20150312,0,4
1005,20150313,1,5
1005,20150314,0,6
1005,20150315,0,7
1005,20150316,0,1
1005,20150317,0,2
1005,20150318,2,3
1005,20150319,0,4
1005,20150320,0,5
1005,20150321,0,6
1005,20150322,0,7
1005,20150323,0,1
1005,20150324,0,2
1005,20150325,1,3
1005,20150326,0,4
1005,20150327,0,5
1005,20150328,0,6
1005,20150329,0,7
1005,20150330,0,1
1005,20150331,0,2
1005,20150401,0,3
1005,20150402,0,4
1005,20150403,1,5
1005,20150404,0,6
1005,20150405,0,7
1005,20150406,0,1
1005,20150407,3,2
1005,20150408,0,3
1005,20150409,0,4
1005,20150410,0,5
1005,20150411,0,6
1005,20150412,0,7
1005,20150413,0,1
1005,20150414,1,2
1005,20150415,0,3
1005,20150416,0,4
1005,20150417,0,5
1005,20150418,0,6
1005,20150419,0,7
1005,20150420,1,1
1005,20150421,0,2
1005,20150422,1,3
1005,20150423,0,4
1005,20150424,0,5
1005,20150425,0,6
1005,20150426,0,7
1005,20150427,0,1
1005,20150428,0,2
1005,20150429,0,3
1005,20150430,0,4
1005,20150501,0,5
1005,20150502,0,6
1005,20150503,0,7
1005,20150504,0,1
1005,20150505,1,2
1005,20150506,0,3
1005,20150507,0,4
1005,20150508,0,5
1005,20150509,0,6
1005,20150510,0,7
1005,20150511,1,1
1005,20150512,0,2
1005,20150513,0,3
1005,20150514,0,4
1005,20150515,0,5
1005,20150516,0,6
1005,20150517,0,7
1005,20150518,0,1
1005,20150519,0,2
1005,20150520,0,3
1005,20150521,1,4
1005,20150522,0,5
1005,20150523,0,6
1005,20150524,0,7
1005,20150525,0,1
1005,20150526,0,2
1005,20150527,0,3
1005,20150528,0,4
1005,20150529,0,5
1005,20150530,0,6
1005,20150531,0,7
1005,20150601,0,1
1005,20150602,0,2
1005,20150603,0,3
1005,20150604,1,4
1005,20150605,0,5
1005,20150606,0,6
1005,20150607,2,7
1005,20150608,0,1
1005,20150609,0,2
1005,20150610,0,3
1005,20150611,0,4
1005,20150612,2,5
1005,20150613,1,6
1005,20150614,0,7
1005,20150615,0,1
1005,20150616,0,2
1005,20150617,0,3
1005,20150618,0,4
1005,20150619,0,5
1005,20150620,0,6
1005,20150621,0,7
1005,20150622,0,1
1005,20150623,0,2
1005,20150624,1,3
1005,20150625,0,4
1005,20150626,0,5
1005,20150627,1,6
1005,20150628,0,7
1005,20150629,1,1
1005,20150630,2,2
1005,20150701,1,3
1005,20150702,0,4
1005,20150703,0,5
1005,20150704,1,6
1005,20150705,0,7
1005,20150706,0,1
1005,20150707,0,2
1005,20150708,0,3
1005,20150709,0,4
1005,20150710,1,5
1005,20150711,1,6
1005,20150712,1,7
1005,20150713,0,1
1005,20150714,1,2
1005,20150715,0,3
1005,20150716,0,4
1005,20150717,0,5
1005,20150718,0,6
1005,20150719,0,7
1005,20150720,0,1
1005,20150721,0,2
1005,20150722,0,3
1005,20150723,1,4
1005,20150724,1,5
1005,20150725,0,6
1005,20150726,0,7
1005,20150727,2,1
1005,20150728,1,2
1005,20150729,5,3
1005,20150730,1,4
1005,20150731,0,5
1005,20150801,0,6
1005,20150802,0,7
1005,20150803,1,1
1005,20150804,0,2
1005,20150805,1,3
1005,20150806,0,4
1005,20150807,1,5
1005,20150808,0,6
1005,20150809,0,7
1005,20150810,0,1
1005,20150811,1,2
1005,20150812,1,3
1005,20150813,0,4
1005,20150814,0,5
1005,20150815,2,6
1005,20150816,1,7
1005,20150817,0,1
1005,20150818,0,2
1005,20150819,5,3
1005,20150820,0,4
1005,20150821,0,5
1005,20150822,0,6
1005,20150823,0,7
1005,20150824,1,1
1005,20150825,0,2
1005,20150826,4,3
1005,20150827,0,4
1005,20150828,0,5
1005,20150829,1,6
1005,20150830,0,7
1005,20150831,0,1
1006,20150101,0,4
1006,20150102,0,5
1006,20150103,0,6
1006,20150104,0,7
1006,20150105,0,1
1006,20150106,0,2
1006,20150107,0,3
1006,20150108,0,4
1006,20150109,0,5
1006,20150110,1,6
1006,20150111,1,7
1006,20150112,0,1
1006,20150113,0,2
1006,20150114,0,3
1006,20150115,0,4
1006,20150116,0,5
1006,20150117,0,6
1006,20150118,0,7
1006,20150119,1,1
1006,20150120,1,2
1006,20150121,0,3
1006,20150122,0,4
1006,20150123,0,5
1006,20150124,0,6
1006,20150125,0,7
1006,20150126,0,1
1006,20150127,0,2
1006,20150128,0,3
1006,20150129,1,4
1006,20150130,0,5
1006,20150131,0,6
1006,20150201,0,7
1006,20150202,0,1
1006,20150203,0,2
1006,20150204,0,3
1006,20150205,0,4
1006,20150206,0,5
1006,20150207,0,6
1006,20150208,1,7
1006,20150209,0,1
1006,20150210,0,2
1006,20150211,0,3
1006,20150212,0,4
1006,20150213,0,5
1006,20150214,0,6
1006,20150215,1,7
1006,20150216,0,1
1006,20150217,0,2
1006,20150218,0,3
1006,20150219,0,4
1006,20150220,0,5
1006,20150221,0,6
1006,20150222,0,7
1006,20150223,0,1
1006,20150224,0,2
1006,20150225,1,3
1006,20150226,0,4
1006,20150227,0,5
1006,20150228,0,6
1006,20150301,0,7
1006,20150302,0,1
1006,20150303,0,2
1006,20150304,1,3
1006,20150305,0,4
1006,20150306,0,5
1006,20150307,0,6
1006,20150308,0,7
1006,20150309,0,1
1006,20150310,0,2
1006,20150311,0,3
1006,20150312,0,4
1006,20150313,0,5
1006,20150314,1,6
1006,20150315,0,7
1006,20150316,0,1
1006,20150317,0,2
1006,20150318,0,3
1006,20150319,0,4
1006,20150320,0,5
1006,20150321,0,6
1006,20150322,0,7
1006,20150323,0,1
1006,20150324,0,2
1006,20150325,0,3
1006,20150326,0,4
1006,20150327,0,5
1006,20150328,0,6
1006,20150329,0,7
1006,20150330,0,1
1006,20150331,0,2
1006,20150401,1,3
1006,20150402,0,4
1006,20150403,0,5
1006,20150404,0,6
1006,20150405,0,7
1006,20150406,0,1
1006,20150407,0,2
1006,20150408,0,3
1006,20150409,0,4
1006,20150410,0,5
1006,20150411,0,6
1006,20150412,0,7
1006,20150413,0,1
1006,20150414,0,2
1006,20150415,0,3
1006,20150416,0,4
1006,20150417,0,5
1006,20150418,0,6
1006,20150419,0,7
1006,20150420,0,1
1006,20150421,0,2
1006,20150422,0,3
1006,20150423,0,4
1006,20150424,0,5
1006,20150425,0,6
1006,20150426,0,7
1006,20150427,0,1
1006,20150428,0,2
1006,20150429,1,3
1006,20150430,0,4
1006,20150501,0,5
1006,20150502,0,6
1006,20150503,0,7
1006,20150504,0,1
1006,20150505,0,2
1006,20150506,0,3
1006,20150507,0,4
1006,20150508,0,5
1006,20150509,0,6
1006,20150510,0,7
1006,20150511,0,1
1006,20150512,0,2
1006,20150513,0,3
1006,20150514,0,4
1006,20150515,0,5
1006,20150516,0,6
1006,20150517,0,7
1006,20150518,0,1
1006,20150519,0,2
1006,20150520,0,3
1006,20150521,0,4
1006,20150522,0,5
1006,20150523,0,6
1006,20150524,0,7
1006,20150525,0,1
1006,20150526,0,2
1006,20150527,0,3
1006,20150528,0,4
1006,20150529,0,5
1006,20150530,0,6
1006,20150531,0,7
1006,20150601,0,1
1006,20150602,0,2
1006,20150603,0,3
1006,20150604,0,4
1006,20150605,0,5
1006,20150606,0,6
1006,20150607,0,7
1006,20150608,0,1
1006,20150609,0,2
1006,20150610,0,3
1006,20150611,0,4
1006,20150612,0,5
1006,20150613,0,6
1006,20150614,0,7
1006,20150615,0,1
1006,20150616,0,2
1006,20150617,0,3
1006,20150618,0,4
1006,20150619,0,5
1006,20150620,0,6
1006,20150621,0,7
1006,20150622,0,1
1006,20150623,0,2
1006,20150624,0,3
1006,20150625,0,4
1006,20150626,0,5
1006,20150627,0,6
1006,20150628,0,7
1006,20150629,0,1
1006,20150630,0,2
1006,20150701,0,3
1006,20150702,0,4
1006,20150703,0,5
1006,20150704,0,6
1006,20150705,0,7
1006,20150706,0,1
1006,20150707,0,2
1006,20150708,0,3
1006,20150709,0,4
1006,20150710,0,5
1006,20150711,0,6
1006,20150712,0,7
1006,20150713,0,1
1006,20150714,0,2
1006,20150715,0,3
1006,20150716,0,4
1006,20150717,0,5
1006,20150718,0,6
1006,20150719,0,7
1006,20150720,0,1
1006,20150721,0,2
1006,20150722,0,3
1006,20150723,0,4
1006,20150724,0,5
1006,20150725,0,6
1006,20150726,0,7
1006,20150727,0,1
1006,20150728,0,2
1006,20150729,0,3
1006,20150730,0,4
1006,20150731,0,5
1006,20150801,0,6
1006,20150802,0,7
1006,20150803,0,1
1006,20150804,1,2
1006,20150805,0,3
1006,20150806,0,4
1006,20150807,0,5
1006,20150808,0,6
1006,20150809,0,7
1006,20150810,0,1
1006,20150811,0,2
1006,20150812,0,3
1006,20150813,0,4
1006,20150814,0,5
1006,20150815,0,6
1006,20150816,0,7
1006,20150817,0,1
1006,20150818,0,2
1006,20150819,0,3
1006,20150820,0,4
1006,20150821,1,5
1006,20150822,0,6
1006,20150823,0,7
1006,20150824,0,1
1006,20150825,0,2
1006,20150826,0,3
1006,20150827,0,4
1006,20150828,0,5
1006,20150829,0,6
1006,20150830,0,7
1006,20150831,0,1
1007,20150101,0,4
1007,20150102,0,5
1007,20150103,0,6
1007,20150104,0,7
1007,20150105,0,1
1007,20150106,0,2
1007,20150107,1,3
1007,20150108,0,4
1007,20150109,0,5
1007,20150110,0,6
1007,20150111,0,7
1007,20150112,0,1
1007,20150113,1,2
1007,20150114,0,3
1007,20150115,0,4
1007,20150116,0,5
1007,20150117,0,6
1007,20150118,0,7
1007,20150119,0,1
1007,20150120,0,2
1007,20150121,2,3
1007,20150122,0,4
1007,20150123,0,5
1007,20150124,0,6
1007,20150125,0,7
1007,20150126,0,1
1007,20150127,0,2
1007,20150128,0,3
1007,20150129,0,4
1007,20150130,0,5
1007,20150131,0,6
1007,20150201,0,7
1007,20150202,0,1
1007,20150203,0,2
1007,20150204,0,3
1007,20150205,0,4
1007,20150206,0,5
1007,20150207,0,6
1007,20150208,0,7
1007,20150209,0,1
1007,20150210,0,2
1007,20150211,0,3
1007,20150212,0,4
1007,20150213,0,5
1007,20150214,0,6
1007,20150215,0,7
1007,20150216,0,1
1007,20150217,0,2
1007,20150218,0,3
1007,20150219,0,4
1007,20150220,0,5
1007,20150221,0,6
1007,20150222,0,7
1007,20150223,0,1
1007,20150224,0,2
