custid,大类编码,大类名称,中类编码,中类名称,小类编码,小类名称,销售日期,销售月份,商品编码,规格型号,商品类型,单位,销售数量,销售金额,商品单价,是否促销
27,31,家居,3119,卫浴用品,311907,梳子/镜子,20150101,201501,DW-3119070145,QM-3037,一般商品,个,1,15,15,否
5,30,洗化,3018,卫生巾,301802,夜用卫生巾,20150101,201501,DW-3018020125,4片,一般商品,包,1,7.5,8.7,是
28,30,洗化,3018,卫生巾,301802,夜用卫生巾,20150101,201501,DW-3018020127,8片,一般商品,包,1,9.9,9.9,否
29,22,休闲,2209,巧克力,220901,威化巧克力,20150101,201501,DW-2209010044,20g,一般商品,盒,1,8.5,8.5,否
24,20,粮油,2011,液体调料,201111,料酒,20150101,201501,DW-2011110020,350ml,一般商品,袋,1,1.1,1.1,否
30,22,休闲,2209,巧克力,220906,果仁巧克力,20150101,201501,DW-2209060042,243g,一般商品,碗,1,28.3,39.8,是
31,10,肉禽,1001,猪肉,100104,猪骨,20150101,201501,DW-1001040132,散称,生鲜,千克,0.356,7.05,35,否
20,10,肉禽,1001,猪肉,100101,鲜猪肉,20150101,201501,DW-1001010194,散称,生鲜,千克,0.342,9.2,29.8,否
32,30,洗化,3007,洗浴用品,300701,香皂,20150101,201501,DW-3007010253,115g,一般商品,块,1,3.9,4.7,是
32,30,洗化,3008,洗护发用品,300801,洗发水,20150101,201501,DW-3008010512,500ml,一般商品,瓶,1,46.9,46.9,否
33,15,日配,1518,常温乳品,151805,利乐枕纯奶,20150101,201501,DW-1518050001,240ml,一般商品,袋,16,43.2,2.7,否
33,21,冲调,2105,冲调食品,210503,芝麻糊,20150101,201501,DW-2105030026,560g,一般商品,袋,1,18.9,22.7,否
34,33,文体,3319,笔类,331901,圆珠笔,20150101,201501,DW-3319010115, ,一般商品,支,1,2,2.3,否
35,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040010,散称,生鲜,千克,0.612,3.29,2.58,否
35,22,休闲,2201,饼干,220102,夹心,20150101,201501,DW-2201020008,80g,一般商品,袋,1,4.5,4.5,否
31,12,蔬果,1201,蔬菜,120106,菌菇类,20150101,201501,DW-1201060006, ,生鲜,盒,1,3.6,5.8,否
20,12,蔬果,1203,水果,120303,梨类,20150101,201501,DW-1203030161,散称,生鲜,KG,0.92,4.55,15.96,否
36,20,粮油,2006,五谷杂粮,200603,常规面粉,20150101,201501,DW-2006030214,5kg,一般商品,袋,1,18.9,21.9,否
22,20,粮油,2007,南北干货,200705,桂圆,20150101,201501,DW-2007050037,散称,一般商品,kg,0.292,5.78,19.8,否
18,12,蔬果,1201,蔬菜,120102,根茎,20150101,201501,DW-1201020025,散称,生鲜,千克,1.146,2.49,2.56,否
37,12,蔬果,1203,水果,120302,苹果类,20150101,201501,DW-1203020172,散称,生鲜,KG,0.858,7.7,11.98,否
38,12,蔬果,1203,水果,120309,进口水果,20150101,201501,DW-1203090216,散称,生鲜,KG,0.266,4.25,15.9,否
12,20,粮油,2007,南北干货,200706,红枣,20150101,201501,DW-2007060065,散称,一般商品,kg,0.366,7.23,37.8,是
39,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040036,散称,生鲜,千克,0.786,1.87,1.8,否
40,15,日配,1505,冷藏乳品,150506,冷藏原味鲜乳,20150101,201501,DW-1505060016,100g*8,一般商品,盒,1,7.9,12.8,是
19,22,休闲,2207,糖果,220701,硬糖,20150101,201501,DW-2207010002,120g,一般商品,袋,1,3.9,4,否
41,12,蔬果,1201,蔬菜,120101,叶菜,20150101,201501,DW-1201010021,散称,生鲜,千克,0.796,4.76,6.56,否
42,15,日配,1505,冷藏乳品,150502,冷藏加味酸乳,20150101,201501,DW-1505020020,100g*8,一般商品,袋,1,11.9,11.9,否
12,13,熟食,1308,现制中式面点,130801,现制蒸类,20150101,201501,DW-1308010191,散称,生鲜,千克,0.53,2.1,6,否
31,30,洗化,3016,纸制品,301606,手帕纸,20150101,201501,DW-3016060149,10包,一般商品,提,1,3,3,否
43,30,洗化,3011,保养用品,301106,手足保养品,20150101,201501,DW-3011060119,50g,一般商品,支,1,10.5,10.9,否
24,12,蔬果,1202,加工豆类,120201,豆腐,20150101,201501,DW-1202018073,散称,生鲜,千克,0.447,1.7,2.96,否
21,12,蔬果,1201,蔬菜,120102,根茎,20150101,201501,DW-1201020362,散称,生鲜,千克,0.22,1.42,3.98,否
37,12,蔬果,1203,水果,120307,蕉类,20150101,201501,DW-1203070022,散称,生鲜,KG,0.641,2.6,5.96,否
39,20,粮油,2009,盐/糖,200902,功能盐,20150101,201501,DW-2009020015,400g,一般商品,袋,1,2.8,2.8,否
44,20,粮油,2001,袋装速食面,200105,干脆面,20150101,201501,DW-2001050024,25g,一般商品,袋,1,0.5,0.5,否
31,12,蔬果,1202,加工豆类,120201,豆腐,20150101,201501,DW-1202018267,块,生鲜,块,1,1.5,1.5,否
31,15,日配,1515,冷冻火锅类,151503,火锅丸类,20150101,201501,DW-1515030007,散称,一般商品,千克,0.544,14,32.6,是
14,22,休闲,2205,炒货,220502,带壳花生,20150101,201501,DW-2205020048,散称,一般商品,kg,0.27,2.8,11.8,否
45,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040051,散称,生鲜,千克,0.208,3.24,7.96,否
7,12,蔬果,1201,蔬菜,120101,叶菜,20150101,201501,DW-1201010001,散称,生鲜,千克,0.12,0.9,5.56,否
22,22,休闲,2204,蜜饯,220401,葡萄干,20150101,201501,DW-2204010036,散装,一般商品,KG,0.928,31.36,33.8,否
21,11,水产,1101,冰鲜水产,110107,贝蛤类,20150101,201501,DW-1101070015,散称,生鲜,kg,0.5,3.49,30,否
46,12,蔬果,1203,水果,120301,柑桔柚类,20150101,201501,DW-1203010290,散称,生鲜,KG,2.018,16.9,2,否
38,12,蔬果,1203,水果,120301,柑桔柚类,20150101,201501,DW-1203010227,散称,生鲜,KG,0.366,2.84,7.98,否
2,12,蔬果,1203,水果,120309,进口水果,20150101,201501,DW-1203090216,散称,生鲜,KG,0.278,4.44,15.9,否
11,13,熟食,1302,卤制熟食,130201,卤制畜类,20150101,201501,DW-1302010083,散称,联营商品,kg,0.178,8.5,40,否
34,12,蔬果,1201,蔬菜,120101,叶菜,20150101,201501,DW-1201010025,散称,生鲜,千克,0.706,3.5,3.96,否
34,33,文体,3321,学生用品,332102,修正液/带,20150101,201501,DW-3321020068,7250,一般商品,卡,1,3,3.3,否
47,12,蔬果,1203,水果,120301,柑桔柚类,20150101,201501,DW-1203010292,散称,生鲜,KG,0.286,2.85,10,否
17,12,蔬果,1201,蔬菜,120102,根茎,20150101,201501,DW-1201020017,散称,生鲜,千克,0.622,1.7,2.56,否
17,15,日配,1518,常温乳品,151806,利乐枕加味奶,20150101,201501,DW-1518060019,230ml,一般商品,袋,3,8.4,2.8,否
48,12,蔬果,1201,蔬菜,120105,鲜调味,20150101,201501,DW-1201050012,散称,生鲜,千克,0.064,0.83,3.56,否
44,20,粮油,2001,袋装速食面,200105,干脆面,20150101,201501,DW-2001050005,26g,一般商品,袋,1,0.5,0.5,否
31,12,蔬果,1205,其它加工,120501,咸菜干货,20150101,201501,DW-1205010005,散称,生鲜,kg,0.072,0.4,2,否
4,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040026,散称,生鲜,千克,0.686,5.06,1.98,否
7,20,粮油,2001,袋装速食面,200102,猪肉口味,20150101,201501,DW-2001020021,82.6g,一般商品,袋,1,2.5,3,否
35,20,粮油,2013,调味酱,201301,番茄酱,20150101,201501,DW-2013010014,340g,一般商品,瓶,1,6.5,6.7,否
10,15,日配,1505,冷藏乳品,150503,冷藏果粒酸乳,20150101,201501,DW-1505030022,260g,一般商品,盒,1,5.9,8.9,是
26,21,冲调,2105,冲调食品,210501,麦片/粉,20150101,201501,DW-2105010143,700g,一般商品,袋,1,26.8,27.7,否
31,30,洗化,3006,洗衣用品,300604,洗衣皂,20150101,201501,DW-3006040014,226g,一般商品,块,1,4.5,4.9,否
31,30,洗化,3016,纸制品,301608,软抽纸巾,20150101,201501,DW-3016080114,200抽*3,一般商品,提,1,6.9,9.7,是
49,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040027,散称,生鲜,千克,0.902,9.9,9.96,否
8,15,日配,1518,常温乳品,151801,利乐砖纯奶,20150101,201501,DW-1518010020,250ml*12,一般商品,提,1,49,65,是
15,31,家居,3118,打扫用品,311809,胶棉拖把,20150101,201501,DW-3118090006,MOJ-A,一般商品,把,1,70,70,否
50,22,休闲,2207,糖果,220703,软糖,20150101,201501,DW-2207030051,105g,一般商品,袋,1,9.9,10.9,否
1,12,蔬果,1201,蔬菜,120103,芽菜,20150101,201501,DW-1201030002,散称,生鲜,千克,0.456,1.3,2.78,否
51,30,洗化,3018,卫生巾,301802,夜用卫生巾,20150101,201501,DW-3018020108,8片,一般商品,包,1,8.9,8.9,否
51,30,洗化,3018,卫生巾,301804,卫生护垫,20150101,201501,DW-3018040094,12+2,一般商品,包,1,9.5,11.9,否
45,12,蔬果,1201,蔬菜,120105,鲜调味,20150101,201501,DW-1201050255,散称,生鲜,千克,0.24,1.43,9.6,否
7,20,粮油,2002,袋装速食面组,200201,牛肉口味,20150101,201501,DW-2002010013,125g*5,一般商品,组,1,13.9,17.3,否
22,30,洗化,3016,纸制品,301603,无芯纸,20150101,201501,DW-3016030118,200抽,一般商品,提,1,18.9,24.9,是
9,22,休闲,2201,饼干,220111,趣味/休闲,20150101,201501,DW-2201110105,45g,一般商品,盒,1,5.8,6.9,否
46,12,蔬果,1203,水果,120302,苹果类,20150101,201501,DW-1203020212,散称,生鲜,KG,1.776,21.6,4.98,否
10,22,休闲,2202,糕点,220201,派,20150101,201501,DW-2202010025,198g,一般商品,盒,1,9.9,9.7,否
10,30,洗化,3006,洗衣用品,300602,洗衣液,20150101,201501,DW-3006020294,2kg,一般商品,桶,1,24.9,24.9,否
11,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040042,散称,生鲜,千克,0.496,4.55,7.8,否
24,20,粮油,2013,调味酱,201306,甜面/豆瓣酱,20150101,201501,DW-2013060013,400g,一般商品,袋,1,3.9,3.7,否
41,22,休闲,2208,口香糖,220802,有糖口香糖,20150101,201501,DW-2208020030,56g,一般商品,瓶,1,10.5,10.9,否
43,30,洗化,3013,口腔卫生用品,301301,成人牙膏,20150101,201501,DW-3013010153,120g,一般商品,支,1,10.9,10.9,否
37,23,酒饮,2307,乳饮料,230705,乳酸菌饮料,20150101,201501,DW-2307050018,100ml*5,一般商品,板,1,4,5.5,是
39,12,蔬果,1203,水果,120307,蕉类,20150101,201501,DW-1203070022,散称,生鲜,KG,0.871,3.63,5.96,否
42,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040010,散称,生鲜,千克,0.294,1.58,2.58,否
42,15,日配,1505,冷藏乳品,150505,冷藏营养酸乳,20150101,201501,DW-1505050003,100g*8,一般商品,袋,1,9.9,9.9,否
8,15,日配,1518,常温乳品,151803,利乐砖营养奶,20150101,201501,DW-1518030029,250ml*12,一般商品,箱,1,62,62,否
29,30,洗化,3018,卫生巾,301802,夜用卫生巾,20150101,201501,DW-3018020114,10片,一般商品,包,1,4.5,4.5,否
33,21,冲调,2101,奶粉,210111,中老年奶粉,20150101,201501,DW-2101110009,400g,一般商品,袋,1,36.5,36.5,否
50,32,家电,3227,电池配件,322701,干电池,20150101,201501,DW-3227010114,7号,一般商品,卡,4,18,4.5,否
38,12,蔬果,1203,水果,120302,苹果类,20150101,201501,DW-1203020164,散称,生鲜,KG,0.698,5.84,17.8,否
38,12,蔬果,1203,水果,120302,苹果类,20150101,201501,DW-1203020166,散称,生鲜,KG,0.752,10.51,17.8,否
34,20,粮油,2005,煮食面/粉,200505,鸡蛋挂面,20150101,201501,DW-2005050018,800g,一般商品,把,1,3.9,5.9,是
45,23,酒饮,2307,乳饮料,230703,纯味酸乳饮,20150101,201501,DW-2307030002,245ml,一般商品,听,1,4.5,4.9,否
9,22,休闲,2206,即食熟制品,220601,牛肉干,20150101,201501,DW-2206010154,68g,一般商品,袋,1,10.9,12.5,否
46,12,蔬果,1203,水果,120309,进口水果,20150101,201501,DW-1203090210,散称,生鲜,KG,1.353,10.8,17.6,否
10,15,日配,1521,蛋类,152101,新鲜蛋品,20150101,201501,DW-1521010001,散称,一般商品,千克,2.214,43.8,19.8,否
10,30,洗化,3018,卫生巾,301801,日用卫生巾,20150101,201501,DW-3018010157,10片,一般商品,包,1,3.9,3.9,否
52,22,休闲,2204,蜜饯,220403,梅,20150101,201501,DW-2204030071,75g,一般商品,袋,1,5.2,5.5,否
11,12,蔬果,1201,蔬菜,120102,根茎,20150101,201501,DW-1201020043,散称,生鲜,千克,0.804,1.11,1.8,否
24,20,粮油,2011,液体调料,201102,生抽酱油,20150101,201501,DW-2011020020,380mL,一般商品,袋,1,1.4,1.3,否
31,12,蔬果,1201,蔬菜,120106,菌菇类,20150101,201501,DW-1201060002,散称,生鲜,千克,0.224,2.77,18,否
37,22,休闲,2206,即食熟制品,220699,其他即食熟制品,20150101,201501,DW-2206990120,100g,一般商品,包,1,2.7,2.7,否
53,12,蔬果,1203,水果,120303,梨类,20150101,201501,DW-1203030161,散称,生鲜,KG,1.6,7.9,15.96,否
33,21,冲调,2105,冲调食品,210501,麦片/粉,20150101,201501,DW-2105010032,700g,一般商品,袋,1,29.9,30.7,否
33,22,休闲,2201,饼干,220101,苏打,20150101,201501,DW-2201010018,125g,一般商品,袋,1,5.5,5.7,否
33,22,休闲,2201,饼干,220102,夹心,20150101,201501,DW-2201020127,125g,一般商品,袋,1,5.5,5.7,否
2,12,蔬果,1201,蔬菜,120105,鲜调味,20150101,201501,DW-1201050004,散称,生鲜,千克,0.299,1.37,5.98,否
51,22,休闲,2203,膨化点心,220302,袋装薯片,20150101,201501,DW-2203020275,60g,一般商品,袋,1,3.9,3.9,否
34,20,粮油,2008,调味料,200808,包装汤料,20150101,201501,DW-2008080003,32g*2,一般商品,盒,1,4.9,4.9,否
54,20,粮油,2007,南北干货,200706,红枣,20150101,201501,DW-2007060065,散称,一般商品,kg,0.306,6.05,37.8,是
55,30,洗化,3016,纸制品,301603,无芯纸,20150101,201501,DW-3016030050,40±2张,一般商品,包,1,1.5,1.7,否
22,22,休闲,2205,炒货,220513,香瓜子,20150101,201501,DW-2205130089,散装,一般商品,KG,0.344,4.06,13.8,是
56,22,休闲,2201,饼干,220103,威化,20150101,201501,DW-2201030016,200g,一般商品,袋,1,8.3,8.7,否
9,15,日配,1505,冷藏乳品,150503,冷藏果粒酸乳,20150101,201501,DW-1505030009,450g,一般商品,盒,1,11.8,11.8,否
9,22,休闲,2206,即食熟制品,220601,牛肉干,20150101,201501,DW-2206010023,60g,一般商品,袋,1,10.9,10.9,否
41,12,蔬果,1201,蔬菜,120106,菌菇类,20150101,201501,DW-1201060010,散称,生鲜,千克,0.444,4.6,9,否
57,15,日配,1505,冷藏乳品,150503,冷藏果粒酸乳,20150101,201501,DW-1505030008,450g,一般商品,盒,1,11.8,11.8,否
57,22,休闲,2201,饼干,220102,夹心,20150101,201501,DW-2201020167,104g,一般商品,盒,1,6.9,6.9,否
5,30,洗化,3018,卫生巾,301802,夜用卫生巾,20150101,201501,DW-3018020126,4+1片,一般商品,包,1,7.9,7.9,否
32,20,粮油,2011,液体调料,201104,其他酱油,20150101,201501,DW-2011040017,500ml,一般商品,瓶,1,9.9,12.9,是
44,12,蔬果,1201,蔬菜,120102,根茎,20150101,201501,DW-1201020013,散称,生鲜,千克,0.452,1.6,4,否
31,20,粮油,2013,调味酱,201303,火锅底料,20150101,201501,DW-2013030024,160g,一般商品,杯,1,3.5,3.9,否
21,12,蔬果,1201,蔬菜,120101,叶菜,20150101,201501,DW-1201010029,散称,生鲜,千克,0.328,0.51,2.56,否
21,12,蔬果,1201,蔬菜,120102,根茎,20150101,201501,DW-1201020029,散称,生鲜,千克,0.614,2.19,3.96,否
58,12,蔬果,1201,蔬菜,120109,其它蔬菜,20150101,201501,DW-1201090311, ,生鲜,个,4,2,2,否
0,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040026,散称,生鲜,千克,0.83,6.1,1.98,否
15,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040010,散称,生鲜,千克,0.457,2.46,2.58,否
50,32,家电,3227,电池配件,322701,干电池,20150101,201501,DW-3227010116,5号,一般商品,卡,1,12.9,13,否
2,12,蔬果,1203,水果,120306,桃/李类,20150101,201501,DW-1203060094,散称,生鲜,KG,0.462,3.8,9.96,否
42,15,日配,1521,蛋类,152101,新鲜蛋品,20150101,201501,DW-1521010005,散称,一般商品,千克,0.75,7.02,6.78,否
51,22,休闲,2209,巧克力,220902,夹心巧克力,20150101,201501,DW-2209020003,80g,一般商品,袋,1,5.3,5.3,否
51,30,洗化,3018,卫生巾,301802,夜用卫生巾,20150101,201501,DW-3018020104,10片,一般商品,包,1,7.9,9.9,是
6,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040010,散称,生鲜,千克,0.47,2.52,2.58,否
1,20,粮油,2007,南北干货,200709,粉丝/条,20150101,201501,DW-2007090052,275g,一般商品,袋,1,5.5,5.7,否
57,22,休闲,2201,饼干,220102,夹心,20150101,201501,DW-2201020165,104g,一般商品,盒,1,6.9,6.9,否
8,12,蔬果,1203,水果,120303,梨类,20150101,201501,DW-1203030177,散称,生鲜,KG,1.352,5.3,3.18,否
57,30,洗化,3016,纸制品,301603,无芯纸,20150101,201501,DW-3016030118,200抽,一般商品,提,1,18.9,24.9,是
8,13,熟食,1308,现制中式面点,130801,现制蒸类,20150101,201501,DW-1308010192,个,生鲜,个,4,2,0.5,否
0,13,熟食,1308,现制中式面点,130801,现制蒸类,20150101,201501,DW-1308010192,个,生鲜,个,4,2,0.5,否
28,23,酒饮,2306,运动机能饮料,230604,健康机能饮料,20150101,201501,DW-2306040025,500ml,一般商品,瓶,1,3.3,4,否
0,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040031,散称,生鲜,千克,1.078,5.1,3.16,否
3,12,蔬果,1203,水果,120302,苹果类,20150101,201501,DW-1203020212,散称,生鲜,KG,1.244,15.1,4.98,否
14,20,粮油,2009,盐/糖,200904,白砂糖,20150101,201501,DW-2009040011,454g,一般商品,袋,1,9.5,9.5,否
4,15,日配,1521,蛋类,152101,新鲜蛋品,20150101,201501,DW-1521010005,散称,一般商品,千克,0.862,8.04,6.78,否
4,23,酒饮,2307,乳饮料,230703,纯味酸乳饮,20150101,201501,DW-2307030003,125ml,一般商品,盒,4,8,2.2,否
35,20,粮油,2008,调味料,200807,调理粉,20150101,201501,DW-2008070058,260g,一般商品,袋,1,2.5,2.7,否
18,20,粮油,2007,南北干货,200701,木耳,20150101,201501,DW-2007010021,散称,一般商品,kg,0.282,17.7,89.8,是
33,21,冲调,2101,奶粉,210107,全脂奶粉,20150101,201501,DW-2101070015,300g,一般商品,袋,1,19.5,19.9,否
33,21,冲调,2101,奶粉,210111,中老年奶粉,20150101,201501,DW-2101110007,400g,一般商品,袋,1,32,32,否
15,13,熟食,1301,凉拌熟食,130101,凉拌素食,20150101,201501,DW-1301010076,散称,联营商品,kg,0.001,5,20,否
10,12,蔬果,1201,蔬菜,120105,鲜调味,20150101,201501,DW-1201050011,散称,生鲜,千克,0.573,1.2,6.56,否
52,20,粮油,2007,南北干货,200706,红枣,20150101,201501,DW-2007060065,散称,一般商品,kg,0.308,6.09,37.8,是
41,12,蔬果,1201,蔬菜,120101,叶菜,20150101,201501,DW-1201010005,散称,生鲜,千克,0.58,4.94,5.8,否
47,15,日配,1521,蛋类,152101,新鲜蛋品,20150101,201501,DW-1521010001,散称,一般商品,千克,1.084,21.43,19.8,否
30,12,蔬果,1203,水果,120301,柑桔柚类,20150101,201501,DW-1203010221,散称,生鲜,KG,0.608,5.2,15.98,否
31,20,粮油,2013,调味酱,201306,甜面/豆瓣酱,20150101,201501,DW-2013060014,180g,一般商品,袋,1,1.9,2,否
1,12,蔬果,1201,蔬菜,120101,叶菜,20150101,201501,DW-1201010023,散称,生鲜,千克,0.91,1.6,2.56,否
47,12,蔬果,1201,蔬菜,120101,叶菜,20150101,201501,DW-1201010029,散称,生鲜,千克,0.416,0.65,2.56,否
59,20,粮油,2007,南北干货,200709,粉丝/条,20150101,201501,DW-2007090045,散称,一般商品,kg,0.534,3.6,6.8,否
60,20,粮油,2008,调味料,200805,香辛粉,20150101,201501,DW-2008050066,40g,一般商品,袋,1,3.9,3.9,否
15,15,日配,1521,蛋类,152101,新鲜蛋品,20150101,201501,DW-1521010005,散称,一般商品,千克,1.038,9.73,6.78,否
39,20,粮油,2014,酱菜类,201404,蔬菜,20150101,201501,DW-2014040202,120g,一般商品,袋,1,2.5,2.7,否
38,12,蔬果,1203,水果,120301,柑桔柚类,20150101,201501,DW-1203010296,散称,生鲜,KG,0.439,1.66,10,否
43,22,休闲,2208,口香糖,220801,无糖口香糖,20150101,201501,DW-2208010003,56g,一般商品,瓶,1,10.4,10.4,否
60,22,休闲,2205,炒货,220513,香瓜子,20150101,201501,DW-2205130016,160g,一般商品,袋,1,4.5,5.9,是
17,15,日配,1518,常温乳品,151806,利乐枕加味奶,20150101,201501,DW-1518060018,230ml,一般商品,袋,3,8.4,2.8,否
48,23,酒饮,2304,茶饮料,230401,红茶,20150101,201501,DW-2304010004,500ml,一般商品,瓶,1,1.9,2.5,是
45,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040043,散称,生鲜,千克,0.214,1.49,9,否
51,23,酒饮,2302,纯果汁,230299,其他纯果汁,20150101,201501,DW-2302990025,200ml,一般商品,盒,1,4,4,否
34,12,蔬果,1203,水果,120303,梨类,20150101,201501,DW-1203030161,散称,生鲜,KG,1.518,7.5,15.96,否
54,22,休闲,2204,蜜饯,220401,葡萄干,20150101,201501,DW-2204010041,kg,一般商品,散称,0.44,8.7,35.8,是
49,12,蔬果,1201,蔬菜,120102,根茎,20150101,201501,DW-1201020029,散称,生鲜,千克,0.626,2.24,3.96,否
49,12,蔬果,1203,水果,120309,进口水果,20150101,201501,DW-1203090216,散称,生鲜,KG,0.456,7.28,15.9,否
22,11,水产,1103,干货水产,110302,干货虾蟹贝类,20150101,201501,DW-1103020061,散称,生鲜,千克,0.768,44.36,30,否
