大类编码,销售日期,销量
12,20150101,103
12,20150102,99
12,20150103,80
12,20150104,107
12,20150105,161
12,20150106,146
12,20150107,144
12,20150108,129
12,20150109,104
12,20150110,97
12,20150111,125
12,20150112,139
12,20150113,126
12,20150114,139
12,20150115,117
12,20150116,142
12,20150117,118
12,20150118,153
12,20150119,207
12,20150120,183
12,20150121,212
12,20150122,148
12,20150123,128
12,20150124,119
12,20150125,140
12,20150126,151
12,20150127,130
12,20150128,222
12,20150129,102
12,20150130,120
12,20150131,126
12,20150201,113
12,20150202,150
12,20150203,118
12,20150204,3
12,20150205,106
12,20150206,116
12,20150207,117
12,20150208,107
12,20150209,161
12,20150210,113
12,20150211,118
12,20150212,135
12,20150213,99
12,20150215,129
12,20150216,170
12,20150217,146
12,20150218,172
12,20150219,19
12,20150220,29
12,20150221,57
12,20150222,68
12,20150223,51
12,20150224,115
12,20150225,105
12,20150226,68
12,20150227,91
12,20150228,85
12,20150301,111
12,20150302,124
12,20150303,89
12,20150304,128
12,20150305,88
12,20150306,92
12,20150307,58
12,20150308,108
12,20150309,137
12,20150310,107
12,20150311,166
12,20150312,125
12,20150313,124
12,20150314,197
12,20150315,111
12,20150316,131
12,20150317,128
12,20150318,222
12,20150319,117
12,20150320,73
12,20150321,87
12,20150322,95
12,20150323,166
12,20150324,101
12,20150325,176
12,20150326,94
12,20150327,77
12,20150328,105
12,20150329,61
12,20150330,142
12,20150401,202
12,20150402,96
12,20150403,118
12,20150404,112
12,20150405,90
12,20150406,75
12,20150407,132
12,20150408,169
12,20150410,94
12,20150411,129
12,20150412,144
12,20150413,133
12,20150414,147
12,20150415,176
12,20150417,130
12,20150418,138
12,20150419,96
12,20150420,144
12,20150421,121
12,20150422,207
12,20150423,123
12,20150424,137
12,20150425,104
12,20150426,157
12,20150427,149
12,20150428,98
12,20150429,177
12,20150430,76
13,20150101,10
13,20150102,6
13,20150103,8
13,20150104,4
13,20150105,8
13,20150106,5
13,20150107,13
13,20150108,7
13,20150109,6
13,20150110,7
13,20150111,12
13,20150112,11
13,20150113,8
13,20150114,7
13,20150115,11
13,20150116,8
13,20150117,9
13,20150118,12
13,20150119,5
13,20150120,11
13,20150121,9
13,20150122,6
13,20150123,6
13,20150124,2
13,20150125,6
13,20150126,5
13,20150127,3
13,20150128,14
13,20150129,9
13,20150130,10
13,20150131,11
13,20150201,7
13,20150202,10
13,20150203,8
13,20150204,1
13,20150205,6
13,20150206,13
13,20150207,7
13,20150208,5
13,20150209,10
13,20150210,14
13,20150211,7
13,20150212,7
13,20150213,3
13,20150215,11
13,20150216,3
13,20150217,7
13,20150218,1
13,20150219,1
13,20150221,3
13,20150222,2
13,20150223,1
13,20150224,4
13,20150225,4
13,20150226,2
13,20150227,3
13,20150228,6
13,20150301,9
13,20150302,12
13,20150303,14
13,20150304,7
13,20150305,9
13,20150306,11
13,20150307,5
13,20150308,7
13,20150309,6
13,20150310,9
13,20150311,6
13,20150312,12
13,20150313,11
13,20150314,7
13,20150315,7
13,20150316,4
13,20150317,12
13,20150318,16
13,20150319,7
13,20150320,10
13,20150321,8
13,20150322,5
13,20150323,5
13,20150324,8
13,20150325,5
13,20150326,4
13,20150327,4
13,20150328,7
13,20150329,2
13,20150330,16
13,20150401,12
13,20150402,9
13,20150403,12
13,20150404,13
13,20150405,7
13,20150406,6
13,20150407,15
13,20150408,6
13,20150410,5
13,20150411,18
13,20150412,3
13,20150413,9
13,20150414,7
13,20150415,8
13,20150417,11
13,20150418,10
13,20150419,4
13,20150420,8
13,20150421,9
13,20150422,11
13,20150423,10
13,20150424,11
13,20150425,6
13,20150426,15
13,20150427,6
13,20150428,5
13,20150429,7
13,20150430,6
14,20150101,1
14,20150102,1
14,20150108,1
14,20150109,2
14,20150113,1
14,20150114,1
14,20150115,1
14,20150116,1
14,20150203,4
14,20150206,1
14,20150207,1
14,20150210,1
14,20150312,1
14,20150325,1
15,20150101,30
15,20150102,33
15,20150103,28
15,20150104,24
15,20150105,33
15,20150106,36
15,20150107,66
15,20150108,43
15,20150109,33
15,20150110,30
15,20150111,45
15,20150112,49
15,20150113,39
15,20150114,59
15,20150115,29
15,20150116,27
15,20150117,33
15,20150118,34
15,20150119,65
15,20150120,36
15,20150121,54
15,20150122,48
15,20150123,42
15,20150124,40
15,20150125,43
15,20150126,42
15,20150127,35
15,20150128,66
15,20150129,45
15,20150130,39
15,20150131,45
15,20150201,34
15,20150202,50
15,20150203,44
15,20150205,36
15,20150206,41
15,20150207,40
15,20150208,43
15,20150209,47
15,20150210,53
15,20150211,61
15,20150212,39
15,20150213,46
15,20150215,57
15,20150216,93
15,20150217,81
15,20150218,124
15,20150219,10
15,20150220,13
15,20150221,26
15,20150222,34
15,20150223,19
15,20150224,43
15,20150225,34
15,20150226,26
15,20150227,34
15,20150228,35
15,20150301,31
15,20150302,21
15,20150303,30
15,20150304,55
15,20150305,23
15,20150306,36
15,20150307,23
15,20150308,34
15,20150309,44
15,20150310,28
15,20150311,41
15,20150312,40
15,20150313,24
15,20150314,48
15,20150315,24
15,20150316,24
15,20150317,26
15,20150318,45
15,20150319,28
15,20150320,28
15,20150321,34
15,20150322,28
15,20150323,44
15,20150324,34
15,20150325,58
15,20150326,33
15,20150327,18
15,20150328,45
15,20150329,44
15,20150330,43
15,20150401,54
15,20150402,27
15,20150403,41
15,20150404,50
15,20150405,23
15,20150406,28
15,20150407,52
15,20150408,45
15,20150410,39
15,20150411,39
15,20150412,45
15,20150413,39
15,20150414,65
15,20150415,83
15,20150417,44
15,20150418,39
15,20150419,43
15,20150420,64
15,20150421,44
15,20150422,62
15,20150423,37
15,20150424,42
15,20150425,41
15,20150426,63
15,20150427,41
15,20150428,43
15,20150429,72
15,20150430,47
20,20150101,49
20,20150102,59
20,20150103,42
20,20150104,58
20,20150105,62
20,20150106,62
20,20150107,82
20,20150108,55
20,20150109,53
20,20150110,64
20,20150111,39
20,20150112,52
20,20150113,68
20,20150114,64
20,20150115,50
20,20150116,47
20,20150117,62
20,20150118,70
20,20150119,74
20,20150120,57
20,20150121,89
20,20150122,61
20,20150123,56
20,20150124,41
20,20150125,47
20,20150126,60
20,20150127,81
20,20150128,95
20,20150129,66
20,20150130,38
20,20150131,74
20,20150201,64
20,20150202,57
20,20150203,65
20,20150205,45
20,20150206,52
20,20150207,57
20,20150208,38
20,20150209,69
20,20150210,64
20,20150211,86
20,20150212,68
20,20150213,77
20,20150215,68
20,20150216,131
20,20150217,110
20,20150218,89
20,20150219,6
20,20150220,16
20,20150221,50
20,20150222,18
20,20150223,25
20,20150224,35
20,20150225,46
20,20150226,28
20,20150227,44
20,20150228,38
20,20150301,32
20,20150302,32
20,20150303,37
20,20150304,74
20,20150305,43
20,20150306,49
20,20150307,27
20,20150308,40
20,20150309,44
20,20150310,37
20,20150311,71
20,20150312,46
20,20150313,33
20,20150314,42
20,20150315,43
20,20150316,39
20,20150317,42
20,20150318,58
20,20150319,53
20,20150320,21
20,20150321,41
20,20150322,35
20,20150323,50
20,20150324,33
20,20150325,51
20,20150326,59
20,20150327,23
20,20150328,23
20,20150329,32
20,20150330,62
20,20150401,62
20,20150402,37
20,20150403,45
20,20150404,32
20,20150405,54
20,20150406,35
20,20150407,68
20,20150408,42
20,20150410,26
20,20150411,29
20,20150412,41
20,20150413,43
20,20150414,40
20,20150415,76
20,20150417,51
20,20150418,41
20,20150419,32
20,20150420,41
20,20150421,50
20,20150422,61
20,20150423,29
20,20150424,43
20,20150425,40
20,20150426,70
20,20150427,28
20,20150428,37
20,20150429,79
20,20150430,47
21,20150101,9
21,20150102,8
21,20150103,3
21,20150104,8
21,20150105,7
21,20150106,8
21,20150108,3
21,20150109,6
21,20150110,9
21,20150111,5
21,20150112,5
21,20150113,2
21,20150114,7
21,20150115,3
21,20150116,7
21,20150117,6
21,20150118,1
21,20150119,9
21,20150120,3
21,20150121,9
21,20150122,6
21,20150123,5
21,20150124,2
21,20150125,5
21,20150126,2
21,20150127,11
21,20150128,5
21,20150129,1
21,20150130,3
21,20150131,11
21,20150201,3
21,20150202,2
21,20150203,12
21,20150205,1
21,20150206,12
21,20150207,6
21,20150208,7
21,20150209,20
21,20150210,12
21,20150211,18
21,20150212,2
21,20150213,15
21,20150215,11
21,20150216,19
21,20150217,16
21,20150218,14
21,20150219,7
21,20150220,3
21,20150221,6
21,20150222,4
21,20150224,6
21,20150225,4
21,20150226,6
21,20150227,2
21,20150228,5
21,20150301,2
21,20150302,3
21,20150303,10
21,20150304,4
21,20150305,4
21,20150306,3
21,20150307,7
21,20150309,3
21,20150311,6
21,20150312,1
21,20150314,7
21,20150315,3
21,20150316,8
21,20150317,4
21,20150318,4
21,20150319,5
21,20150320,2
21,20150321,7
21,20150323,2
21,20150324,4
21,20150326,5
21,20150327,3
21,20150328,3
21,20150329,2
21,20150330,2
21,20150401,8
21,20150402,1
21,20150403,4
21,20150404,3
21,20150405,5
21,20150406,5
21,20150407,3
21,20150408,7
21,20150410,4
21,20150411,2
21,20150412,2
21,20150413,8
21,20150414,2
21,20150415,6
21,20150417,3
21,20150418,6
21,20150419,7
21,20150420,3
21,20150421,4
21,20150422,2
21,20150423,4
21,20150424,4
21,20150426,1
21,20150427,4
21,20150428,2
21,20150429,5
21,20150430,2
22,20150101,44
22,20150102,72
22,20150103,76
22,20150104,90
22,20150105,41
22,20150106,75
22,20150107,88
22,20150108,65
22,20150109,91
22,20150110,104
22,20150111,79
22,20150112,41
22,20150113,68
22,20150114,68
22,20150115,93
22,20150116,93
22,20150117,64
22,20150118,71
22,20150119,84
22,20150120,62
22,20150121,131
22,20150122,64
22,20150123,86
22,20150124,53
22,20150125,82
22,20150126,65
22,20150127,66
22,20150128,153
22,20150129,67
22,20150130,60
22,20150131,111
22,20150201,73
22,20150202,54
22,20150203,101
22,20150204,4
22,20150205,49
22,20150206,69
22,20150207,68
22,20150208,68
22,20150209,120
22,20150210,51
22,20150211,121
22,20150212,108
22,20150213,133
22,20150215,150
22,20150216,239
22,20150217,226
22,20150218,322
22,20150219,25
22,20150220,24
22,20150221,42
22,20150222,56
22,20150223,56
22,20150224,63
22,20150225,52
22,20150226,46
22,20150227,49
22,20150228,61
22,20150301,61
22,20150302,43
22,20150303,44
22,20150304,97
22,20150305,31
22,20150306,52
22,20150307,37
22,20150308,49
22,20150309,45
22,20150310,49
22,20150311,73
22,20150312,71
22,20150313,79
22,20150314,76
22,20150315,62
22,20150316,62
22,20150317,33
22,20150318,107
22,20150319,43
22,20150320,42
22,20150321,84
22,20150322,87
22,20150323,44
22,20150324,52
22,20150325,63
22,20150326,74
22,20150327,69
22,20150328,83
22,20150329,57
22,20150330,80
22,20150401,76
22,20150402,42
22,20150403,110
22,20150404,140
22,20150405,81
22,20150406,41
22,20150407,101
22,20150408,86
22,20150410,69
22,20150411,76
22,20150412,85
22,20150413,53
22,20150414,111
22,20150415,111
22,20150417,67
22,20150418,115
22,20150419,60
22,20150420,36
22,20150421,49
22,20150422,118
22,20150423,78
22,20150424,48
22,20150425,73
22,20150426,58
22,20150427,42
22,20150428,32
22,20150429,104
22,20150430,101
23,20150101,11
23,20150102,16
23,20150103,9
23,20150104,18
23,20150105,5
23,20150106,7
23,20150107,11
23,20150108,10
23,20150109,26
23,20150110,14
23,20150111,8
23,20150112,8
23,20150113,10
23,20150114,10
23,20150115,18
23,20150116,18
23,20150117,18
23,20150118,18
23,20150119,9
23,20150120,9
23,20150121,12
23,20150122,12
23,20150123,16
23,20150124,13
23,20150125,10
23,20150126,17
23,20150127,24
23,20150128,19
23,20150129,10
23,20150130,11
23,20150131,16
23,20150201,8
23,20150202,14
23,20150203,14
23,20150205,10
23,20150206,9
23,20150207,9
23,20150208,17
23,20150209,9
23,20150210,16
23,20150211,16
23,20150212,20
23,20150213,18
23,20150215,23
23,20150216,38
23,20150217,79
23,20150218,111
23,20150219,8
23,20150220,6
23,20150221,26
23,20150222,23
23,20150223,12
23,20150224,21
23,20150225,17
23,20150226,15
23,20150227,6
23,20150228,21
23,20150301,20
23,20150302,12
23,20150303,9
23,20150304,9
23,20150305,19
23,20150306,27
23,20150307,17
23,20150308,16
23,20150309,7
23,20150310,1
23,20150311,13
23,20150312,10
23,20150313,12
23,20150314,18
23,20150315,14
23,20150316,14
23,20150317,11
23,20150318,8
23,20150319,12
23,20150320,12
23,20150321,29
23,20150322,17
23,20150323,20
23,20150324,17
23,20150325,15
23,20150326,14
23,20150327,14
23,20150328,25
23,20150329,16
23,20150330,20
23,20150401,7
23,20150402,16
23,20150403,22
23,20150404,24
23,20150405,11
23,20150406,12
23,20150407,17
23,20150408,18
23,20150410,8
23,20150411,26
23,20150412,19
23,20150413,7
23,20150414,16
23,20150415,18
23,20150417,14
23,20150418,12
23,20150419,14
23,20150420,5
23,20150421,10
23,20150422,14
23,20150423,10
23,20150424,16
23,20150425,31
23,20150426,34
23,20150427,12
23,20150428,22
23,20150429,15
23,20150430,46
30,20150101,39
30,20150102,28
30,20150103,22
30,20150104,20
30,20150105,40
30,20150106,41
30,20150107,45
30,20150108,19
30,20150109,15
30,20150110,30
30,20150111,13
30,20150112,18
30,20150113,29
30,20150114,41
30,20150115,27
30,20150116,28
30,20150117,23
30,20150118,32
30,20150119,49
30,20150120,27
30,20150121,30
30,20150122,26
30,20150123,20
30,20150124,33
30,20150125,27
30,20150126,31
30,20150127,28
30,20150128,56
30,20150129,37
30,20150130,11
30,20150131,48
30,20150201,43
30,20150202,23
30,20150203,24
30,20150205,18
30,20150206,27
30,20150207,23
30,20150208,18
30,20150209,47
30,20150210,25
30,20150211,26
30,20150212,29
30,20150213,14
30,20150215,22
30,20150216,51
30,20150217,46
30,20150218,57
30,20150219,6
30,20150221,24
30,20150222,6
30,20150223,10
30,20150224,18
30,20150225,23
30,20150226,21
30,20150227,15
30,20150228,18
30,20150301,19
30,20150302,24
30,20150303,15
30,20150304,46
30,20150305,21
30,20150306,17
30,20150307,24
30,20150308,21
30,20150309,23
30,20150310,21
30,20150311,47
30,20150312,25
30,20150313,22
30,20150314,14
30,20150315,25
30,20150316,29
30,20150317,12
30,20150318,31
30,20150319,36
30,20150320,15
30,20150321,29
30,20150322,14
30,20150323,29
30,20150324,30
30,20150325,28
30,20150326,11
30,20150327,26
30,20150328,20
30,20150329,21
30,20150330,25
30,20150401,36
30,20150402,23
30,20150403,31
30,20150404,9
30,20150405,21
30,20150406,17
30,20150407,38
30,20150408,48
30,20150410,17
30,20150411,26
30,20150412,22
30,20150413,15
30,20150414,28
30,20150415,49
30,20150417,21
30,20150418,14
30,20150419,21
30,20150420,27
30,20150421,25
30,20150422,47
30,20150423,38
30,20150424,25
30,20150425,21
30,20150426,45
30,20150427,24
30,20150428,22
30,20150429,47
30,20150430,24
31,20150101,4
31,20150102,2
31,20150103,2
31,20150104,1
31,20150105,7
31,20150106,9
31,20150107,7
31,20150108,5
31,20150109,7
31,20150110,5
31,20150111,1
31,20150112,4
31,20150113,9
31,20150114,10
31,20150115,4
31,20150116,5
31,20150117,2
31,20150118,6
31,20150119,4
31,20150120,5
31,20150121,3
31,20150122,8
31,20150123,3
31,20150124,14
31,20150125,3
31,20150126,1
31,20150127,2
31,20150128,6
31,20150129,3
31,20150130,3
31,20150131,8
31,20150201,15
31,20150202,3
31,20150203,10
31,20150205,2
31,20150206,6
31,20150207,2
31,20150208,3
31,20150209,16
31,20150210,7
31,20150211,8
31,20150212,5
31,20150213,5
31,20150215,6
31,20150216,9
31,20150217,14
31,20150218,24
31,20150221,1
31,20150222,1
31,20150223,5
31,20150224,2
31,20150225,8
31,20150226,2
31,20150227,1
31,20150228,7
31,20150301,6
31,20150302,5
31,20150303,4
31,20150304,12
31,20150306,4
31,20150307,1
31,20150308,7
31,20150309,7
31,20150310,2
31,20150311,8
31,20150312,4
31,20150313,6
31,20150314,5
31,20150315,5
31,20150316,1
31,20150317,1
31,20150318,3
31,20150319,1
31,20150320,3
31,20150321,9
31,20150322,9
31,20150323,15
31,20150324,4
31,20150325,18
31,20150326,9
31,20150327,4
31,20150328,2
31,20150329,2
31,20150330,2
31,20150401,9
31,20150402,1
31,20150403,1
31,20150404,2
31,20150405,11
31,20150406,5
31,20150407,2
31,20150408,1
31,20150410,4
31,20150411,3
31,20150412,4
31,20150413,4
31,20150414,2
31,20150415,3
31,20150417,8
31,20150418,6
31,20150419,3
31,20150420,5
31,20150421,4
31,20150422,2
31,20150423,3
31,20150424,2
31,20150425,3
31,20150426,8
31,20150427,7
31,20150428,2
31,20150429,7
31,20150430,5
32,20150101,2
32,20150103,1
32,20150105,1
32,20150106,1
32,20150107,1
32,20150111,2
32,20150116,1
32,20150117,2
32,20150118,2
32,20150123,1
32,20150126,2
32,20150127,2
32,20150203,1
32,20150205,1
32,20150208,1
32,20150209,2
32,20150217,2
32,20150218,1
32,20150223,1
32,20150227,1
32,20150302,1
32,20150306,1
32,20150309,1
32,20150310,1
32,20150311,2
32,20150317,1
32,20150318,1
32,20150320,1
32,20150323,1
32,20150324,3
32,20150327,1
32,20150330,1
32,20150404,1
32,20150410,1
32,20150412,1
32,20150414,1
32,20150420,1
32,20150423,1
32,20150427,1
33,20150101,3
33,20150102,3
33,20150103,2
33,20150104,5
33,20150105,1
33,20150106,5
33,20150107,4
33,20150108,1
33,20150109,2
33,20150110,6
33,20150111,6
33,20150112,1
33,20150113,3
33,20150114,1
33,20150116,3
33,20150117,1
33,20150118,3
33,20150119,5
33,20150121,1
33,20150122,8
33,20150123,5
33,20150124,5
33,20150126,8
33,20150128,1
33,20150129,6
33,20150130,3
33,20150131,3
33,20150201,4
33,20150203,1
33,20150205,1
33,20150206,5
33,20150207,3
33,20150208,3
33,20150209,4
33,20150210,1
33,20150212,1
33,20150213,2
33,20150215,4
33,20150216,4
33,20150217,6
33,20150218,6
33,20150220,1
33,20150223,9
33,20150224,6
33,20150227,1
33,20150301,1
33,20150302,3
33,20150304,8
33,20150305,3
33,20150306,6
33,20150307,1
33,20150308,6
33,20150312,1
33,20150313,2
33,20150314,2
33,20150315,6
33,20150316,3
33,20150318,1
33,20150319,4
33,20150320,1
33,20150321,1
33,20150324,1
33,20150325,5
33,20150326,1
33,20150327,2
33,20150328,5
33,20150329,1
33,20150330,3
33,20150401,2
33,20150402,3
33,20150405,1
33,20150406,2
33,20150408,1
33,20150410,2
33,20150412,1
33,20150414,5
33,20150415,1
33,20150417,1
33,20150421,1
33,20150422,8
33,20150424,5
33,20150425,2
33,20150426,2
33,20150427,2
33,20150428,1
33,20150430,3
34,20150101,2
34,20150102,1
34,20150104,1
34,20150105,2
34,20150106,5
34,20150107,3
34,20150111,2
34,20150112,5
34,20150113,2
34,20150114,5
34,20150116,8
34,20150117,4
34,20150118,2
34,20150119,5
34,20150120,5
34,20150121,6
34,20150122,3
34,20150123,1
34,20150124,5
34,20150125,6
34,20150126,1
34,20150127,3
34,20150131,5
34,20150201,8
34,20150202,3
34,20150203,1
34,20150205,3
34,20150207,3
34,20150208,3
34,20150209,1
34,20150210,3
34,20150211,2
34,20150212,3
34,20150213,3
34,20150215,1
34,20150216,8
34,20150217,5
34,20150218,15
34,20150220,1
34,20150221,1
34,20150223,1
34,20150224,2
34,20150225,2
34,20150226,2
34,20150227,4
34,20150228,2
34,20150301,1
34,20150302,1
34,20150303,2
34,20150304,6
34,20150306,1
34,20150307,4
34,20150309,1
34,20150311,2
34,20150312,1
34,20150313,5
34,20150314,4
34,20150316,1
34,20150317,3
34,20150318,3
34,20150319,1
34,20150320,4
34,20150321,4
34,20150322,1
34,20150323,1
34,20150324,3
34,20150325,2
34,20150326,4
34,20150329,1
34,20150330,7
34,20150401,4
34,20150402,1
34,20150403,3
34,20150404,2
34,20150405,3
34,20150406,1
34,20150407,5
34,20150408,2
34,20150410,2
34,20150411,2
34,20150412,3
34,20150413,1
34,20150414,7
34,20150415,1
34,20150417,3
34,20150418,1
34,20150419,2
34,20150420,5
34,20150421,1
34,20150422,3
34,20150423,1
34,20150424,2
34,20150425,4
34,20150426,2
34,20150427,2
34,20150428,4
34,20150429,12
34,20150430,4
